unsigned char ida_chars[] =
{
  0x48, 0x31, 0x51, 0x48, 0x48, 0x31, 0x51, 0x50, 0x48, 0x83, 
  0xC1, 0x48, 0x48, 0x31, 0x51, 0x10, 0x48, 0x31, 0x51, 0x18, 
  0x48, 0x31, 0x51, 0x20, 0x48, 0x31, 0x51, 0x28, 0x48, 0x31, 
  0x51, 0x30, 0x48, 0x31, 0x51, 0x38, 0x48, 0x31, 0x51, 0x40, 
  0x48, 0x31, 0x51, 0x48, 0x48, 0x31, 0x51, 0x50, 0x48, 0x31, 
  0x51, 0x58, 0x48, 0x31, 0x51, 0x60, 0x48, 0x31, 0x51, 0x68, 
  0x48, 0x31, 0x51, 0x70, 0x48, 0x31, 0x51, 0x78, 0x48, 0x31, 
  0x91, 0x80, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0x88, 0x00, 
  0x00, 0x00, 0x48, 0x31, 0x91, 0x90, 0x00, 0x00, 0x00, 0x48, 
  0x31, 0x91, 0x98, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0xA0, 
  0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0xA8, 0x00, 0x00, 0x00, 
  0x48, 0x31, 0x91, 0xB0, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 
  0xB8, 0x00, 0x00, 0x00, 0x48, 0x31, 0x91, 0xC0, 0x00, 0x00, 
  0x00, 0x31, 0x11, 0x48, 0x83, 0xE9, 0x48, 0x4C, 0x8B, 0x41, 
  0x40, 0x4D, 0x8B, 0x50, 0x40, 0x48, 0xBA, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x80, 0xFF, 0xFF, 0x4D, 0x8B, 0x48, 0x20, 0x4D, 
  0x33, 0xD1, 0x4C, 0x0B, 0xD2, 0x48, 0xBA, 0x2E, 0x48, 0x31, 
  0x11, 0x48, 0x31, 0x51, 0x08, 0x48, 0x8B, 0xCA, 0x49, 0x33, 
  0x12, 0x41, 0x89, 0x0A, 0x49, 0x8B, 0xCA, 0xFF, 0xE1
};
